YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,label
-4.87233159,26.4593,258.07,3206.1123,1.109939634,4.438157633,42.13036566,2.435728162,-0.078794902,0.042833608,0.09184514,0
8.551921715,14.6154,-3.7,-98.6758,0.441708098,-0.984346429,12.24074074,2.068648902,0.109991604,0.619109382,0.084306096,0
2.903470453,2.7067,11.84,5.0563,0.152037361,0.384570318,16.81666667,3.590800138,-0.261922557,0.968466523,0.615982721,0
-11.39002374,-11.005,-33.33,15.0345,-0.009491301,-0.299329305,22.41666667,0.575712996,0.270866142,0.265280136,0.33106961,0
8.277592502,14.1948,2.06,66.9644,0.199837475,0.143458424,7.124284971,1.394143325,0.44973545,0.41063009,0.174024861,0
9.254135477,183.0008,-15.66,-4.8239,0.232858929,-0.590738032,13.06635487,1.611304339,0.421411266,0.200971731,0.230565371,1
7.616459863,245.3394,-42.63,1446.6894,1.149688345,2.300066868,18.34159531,1.886626327,-0.276291279,0.002770083,0.103416436,0
16.79566466,-17.041,162.46,90.9738,0.339969988,37.54854862,50.23076923,2.549468549,0.72036131,0.982608696,0.452173913,1
4.92169624,3175.1106,113.92,1097.8159,-0.659006237,-1.359180142,0,0,-1,0,0,0
-4.709440806,-75.275,-14.32,-234.0608,-0.032004651,-0.304837617,104.2857143,1.553609365,0.231523136,0.486999587,0.89929839,1
-0.570736415,19.6753,20.09,12.8315,0.347785412,-2.672494608,27.43867655,0.989461347,-0.006100561,0,0.471340206,1
-84.69754309,134.6549,-1171.83,-673.7201,-0.667450389,0.829224443,-1.145019167,0.390799003,-0.612141653,0,0,1
25.89194562,-30.198,48.73,-161.4975,0.05416137,1.039120247,29.38461538,1.125457144,-0.164272805,0.044534413,0.230769231,0
-15.06510448,-0.6541,15.26,12.2781,-0.145379942,0.411479024,19.41176471,1.623611765,0.199169406,0,0.065100343,0
-38.74526927,26.8245,102.03,13.5688,-0.170909303,-0.971524542,464.2201835,2.179470735,0.18211147,0.392632901,0.998744244,0
-41.67507522,5.8221,-157.46,32.9038,-0.426636637,-1.062432354,-171.4592275,4.125807384,1.283789302,0.62585034,0,0
