YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,净现比,WEIGHTAVG_ROE,XSMLL,label
64.36784682,88.418,78,23.0925,0.228073384,0.441063926,21.41397849,3.387295337,0.297300232,0.550761421,0.07677665,0.959951338,15.82,30.59027927,0
28.95409767,4.4813,119.46,-86.1524,0.193343284,-0.556728051,27.76595745,3.941605873,-0.191776396,0.195214791,0,1.017509219,15.28,58.63666616,0
-0.491842835,-37.3358,-6.65,-59.6015,0.041590434,-0.046370533,136.0849944,26.02620246,0.512991797,0.99020979,1,0.920197859,20.55,95.51447678,1
78.40532417,4.1583,443.74,-73.3136,0.908438169,1.821602658,30.53846154,5.720819186,0.281974397,0.064336775,0.006354249,2.079332161,20.71,33.3519724,1
28.59011752,3.955,62.93,-15.7105,0.703829606,5.602383583,25.74324324,5.320363532,1.749106652,0.487680544,0.380628717,1.68308681,22.16,34.54471138,0
22.01521031,32.6684,-35.77,-28.6688,0.357344532,-0.744403133,19.91942704,3.161944029,-0.106340251,0.478873239,0.169014085,1.349832378,17.24,35.53573224,0
22.0815199,3.2469,98.32,-3.7234,0.12355086,0.076150521,25.69642857,3.393359889,0.708639602,0.329787234,0.108156028,1.360830371,19.42,29.43837787,0
-26.53356163,-12.3775,153.49,-99.9659,-0.290852537,-1.000032761,24.67816092,4.485779557,0.388830705,0.555555556,0.267555556,3.056450615,19.93,36.84978385,0
25.07102993,-25.2074,0.25,-68.8895,0.16514838,-0.017277721,96.52044097,13.58150785,1.178751296,0.48701973,0.717549325,1.71252262,16.57,34.32225096,0
30.30721953,5.3153,87.45,-10.6577,0.075655066,0.54374258,36.06831882,3.603060679,-0.356446962,0.3118767,0.055303717,3.479134964,15.95,32.38254394,0
18.92190494,47.5726,6.65,279.7343,0.23108494,0.65883506,137.6865672,17.58940205,0.619729105,0.590551181,0.590551181,1.58441898,16.56,69.98447428,1
14.92173595,9.0297,51.15,-10.9264,0.34181692,1.050930418,31.39348266,6.601608265,0.348621103,0.645512239,0.202175884,1.370313063,22.88,53.11960905,1
10.25859506,31.2534,4.4,-65.3651,-0.007975589,-0.713422506,17.01428571,2.178185902,-0.581601927,0,0,0.993109847,17.72,40.43761392,0
2.453249661,-0.0302,-46.83,-119.9506,-0.215552935,-1.103474835,12.89993193,2.110198807,-0.513330072,0,0.226491405,1.130192499,16.7,19.61270364,0
36.2448716,42.5865,53.33,32.6848,0.379767153,0.620761418,72.98181818,22.85617699,-0.270945589,0.874692875,0.699017199,1.0892684,35.74,85.23865374,1
150.6543381,138.2656,94.93,144.4392,2.491625051,0.708893394,28.18644068,3.958312132,-0.009440986,0.390306122,0,2.340247165,15.05,7.606996377,1
18.7453795,28.8973,43.46,32.4505,0.511064283,1.226800488,25.06944444,4.203589223,-0.141216186,0.466666667,0.075177305,1.870392511,18.07,21.55018563,0
20.35762419,-34.7752,162.7,-74.9931,0.167683912,1.86668407,71.18666667,10.65439942,0.466273024,0.429521277,0.355053191,1.04240097,21.28,92.57333526,1
6.448426902,66.4556,-9.82,-11.3116,0.638594736,0.848890432,61.80808081,8.898028261,0.011309439,0.147098516,0.457489879,1.829375219,15.2,47.39233208,0
65.95401365,37.5345,178.56,-98.3604,0.27049459,-0.955688082,17.80512821,4.295633453,-0.432193754,0.001474926,0,1.934846396,27.23,49.31808618,0
38.80786526,5.6702,45.19,-116.8689,0.368799333,0.642456567,42.06185567,6.219394393,-0.485164221,0.035874439,0.015695067,1.549860823,15.86,94.85040522,1
23.04652873,56.8861,41.99,55.9375,0.272980217,0.274107404,44.43493151,8.163109747,0.043206095,0.657099698,0.438066465,1.15928718,18.5,54.28176998,0
9.649892682,22.3637,22.38,-12.6048,0.230693331,0.40726634,55.31400966,10.08193936,0.634291229,0.747330961,0.455516014,1.061693239,19.67,13.57023424,1
199.8569565,-37.7847,656.43,-158.3595,1.2596755,-99.29104224,25.54836253,9.083665606,0.377880793,0.595818815,0,1.71448595,40.44,60.06961387,0
564.2891811,8.8244,3829.56,7.4733,7.772138796,49.1338857,8.234758872,6.83081188,2.939648776,0.803108808,0,1.109611833,132.22,69.02942434,1
