YSTZ	YSHZ	SJLTZ	SJLHZ	第四季度营收变化	第四季度利润变化	市盈率	市净率	股价变动	市净率百分位	市盈率百分位	净现比	WEIGHTAVG_ROE	XSMLL	label
-6.580333872	111.0523	-35.5	232.3741	-0.054046815	-0.581063262	29.42028986	1.205825139	-0.555056883	0.149313248	0.350022153	1.49260613	4.17	5.839178344	1
29.40835631	129.4986	23.86	215.6701	0.627130039	0.52961817	5.223076923	1.042448875	-0.147800622	0.163117547	0	2.089985496	23.26	23.16212009	0
-19.0940049	-49.5751	-1091.67	-2060.7018	-0.234128622	-6.905265381	-27.25968436	8.660037812	0.920808762	0.86920385	0	-1.332039054	-27.7	20.25662052	0
16.31337368	-12.2565	71.64	-17.2383	0.128383677	0.47148557	23.44488712	6.536390668	-0.578861009	0.323665406	0	0.364552549	31.22	86.68989739	0
-9.190916739	42.3935	-770.66	-984.7995	0.012387401	12.0862103	-5.76056338	0.684133162	-0.252675542	0.004516712	0	-0.881283393	-10.67	17.20608507	0
14.95373361	705.9392	41.58	233.7858	0.105264002	-26.68123127	48.17708333	0.631978322	-0.335897436	0	0.798423891	0.779149325	1.32	20.03472882	0
34.59801911	216.3256	29.85	138.5277	0.51972753	0.403357109	5.241666667	0.974738262	-0.096388015	0.187022901	0	4.301825673	20.76	20.05745907	1
-13.21859309	25.6596	-13.11	1.2682	-0.300632562	-0.352791194	7.641732283	2.330685402	-0.154686852	0.027906977	0.118272425	0.974625963	33.55	48.59606535	1
-13.96548978	16.188	-8.22	8.2258	-0.013556731	-0.039009798	351.3157895	8.024792356	-0.181579331	0.69738277	0.368047983	7.408295444	2.3	14.92144972	0
-4.010256636	0.0839	-844.57	-73.8106	0.127091123	-2.049481877	-23.9	2.014302273	0.31714998	0.124670764	0	0.470824995	-7.97	7.718909199	1
8.77630809	33.1424	12.57	16.8847	-0.023334977	0.280676511	22.31325301	1.785986938	-0.075760456	0.177186655	0	1.150505034	8.29	34.37189164	0
0.062880455	17.0144	-89.89	392.8645	0.132992456	2.998662989	139	1.017957256	0.438639724	0.355371901	0.800782949	26.55973659	0.66	24.46096723	1
2.331103821	10257.5206	-741.94	-462.519	0.068305916	-4.556121859	-2.016438356	6.904388862	0.429126214	1	0	-0.387312871	-126.36	-6.552896901	0
